Vine,Shoot,VineShoot,Origin,Leaf loss,No. Fruit,Shoot Length,Shoot type,Pruned?,Regrowth?,Strung?,Shoot diameter,notes
2,1,20001,1,1,3,50,,,,,8.65,
2,2,20002,1,1,3,11,,y,,,13.15,
2,3,20003,1,1,2,,l,,,,12.46,
2,4,20004,1,1,4,,l,,,,13.37,
2,5,20005,2,1,3,,l,,,,10.75,
2,6,20006,2,1,5,,l,,,strung,13.65,
2,9,20009,3,1,2,,l,,,strung,16.74,
2,10,20010,3,1,0,2,,,,,5.41,
2,11,20011,3,3,0,1,,,,,3.09,
2,12,20012,3,1,4,,l,,r,,11.83,
2,13,20013,3,1,5,222,,,,,9.98,
2,14,20014,3,1,4,,l,,,,9.51,
2,15,20015,3,1,3,60,,,,,8.24,
2,16,20016,3,1,3,,l,,,,8.82,
2,17,20017,3,1,5,14,,,,,7.96,
2,18,20018,3,1,5,22,,,,,7.19,
2,19,20019,3,1,1,2,,,,,5.78,
2,20,20020,3,1,0,3,,,,,4.77,
2,21,20021,3,2,1,8,,,,,5.47,
2,22,20022,3,1,5,6,,,,,6.91,
2,23,20023,3,1,3,3,,,,,5.66,
2,24,20024,3,3,3,4,,,,,6.34,
2,25,20025,3,1,0,2,,,,,4.37,
2,26,20026,3,1,1,77,,y,,,7.12,
2,27,20027,3,1,5,7,,,,,6.86,
2,28,20028,3,1,3,4,,,,,8.19,
2,29,20029,3,1,1,1,,,,,5.11,
2,30,20030,3,1,0,2,,,,,3.46,
2,31,20031,3,1,0,3,,,,,5.25,
2,32,20032,3,1,3,6,,,,,6.3,
2,33,20033,3,1,3,5,,,,,7.13,
2,34,20034,3,1,4,17,,,,,6.88,
2,35,20035,3,1,2,11,,y,,,6.07,
2,7,20007,3,1,3,,l,,,,10.99,
2,8,20008,3,1,4,,l,,,strung,12.42,
2,36,20036,4,2,2,4,,,,,5.62,
2,37,20037,4,1,2,,l,,,,10.9,
2,38,20038,4,3,0,3,,y,,,10.54,
2,39,20039,4,1,0,,l,,,,18.4,
2,40,20040,4,1,2,210,,,,,8.53,
2,41,20041,4,1,0,,l,,,,13.89,
2,42,20042,4,3,0,8,,,,,4.81,
2,43,20043,4,2,3,186,,y,,,10.52,
2,44,20044,4,1,0,135,,y,,,11.19,
2,45,20045,4,2,4,127,,,,,8.5,
2,46,20046,4,2,2,14,,,,,6.37,
2,47,20047,4,2,3,47,,,,,7.27,
2,48,20048,4,2,5,71,,,,,8.16,
2,49,20049,4,1,3,125,,,,,8.69,
2,50,20050,4,1,3,,l,,,,10,
2,51,20051,4,1,5,7,,,,,7.01,
2,52,20052,4,1,6,39,,,,,7.85,
2,53,20053,4,1,7,13,,y,,,8.55,
2,60,20060,4,1,1,6,,y,,,11.34,
2,61,20061,4,1,1,,l,,,strung,14.61,
2,62,20062,4,1,4,,l,,,,10.33,
2,63,20063,4,1,6,,l,,,,11.08,
2,54,20054,4,1,0,5,,,,,4.82,
2,55,20055,4,2,0,10,,,,,6.34,
2,56,20056,4,1,3,16,,,,,5.77,
2,57,20057,4,1,5,6,,,,,6.58,
2,58,20058,4,3,1,1,,,,,5.04,
2,59,20059,4,1,4,,l,,r,,9.94,
2,68,20068,5,1,3,,l,,,,12.6,
2,69,20069,5,1,4,,l,,,,9.69,
2,70,20070,5,1,6,,l,,,,10.17,
2,71,20071,5,1,2,4,,,,,6.22,
2,72,20072,5,1,2,63,,,,,8.08,
2,73,20073,5,1,2,190,,y,,,11.11,
2,74,20074,5,1,4,,l,,,,9.68,
2,75,20075,5,1,5,180,,,,,10.26,
2,76,20076,5,1,0,1,,,,,4.6,
2,77,20077,5,1,3,44,,,,,8.76,
2,78,20078,5,1,0,3,,,,,6.11,
2,79,20079,5,1,3,49,,,,,8.39,
2,80,20080,5,3,1,1,,,,,5.4,
2,81,20081,5,1,4,50,,,,,8.99,
2,82,20082,5,1,4,15,,,,,8.2,
2,83,20083,5,1,2,3,,,,,6.69,
2,84,20084,5,1,3,53,,,,,8.56,
2,85,20085,5,1,0,5,,,,,7.15,
2,86,20086,5,1,5,41,,,,,7.96,
2,87,20087,5,1,0,2,,,,,5.01,
2,88,20088,5,1,6,19,,y,,,7.7,
2,89,20089,5,1,2,100,,,,,8.01,
2,90,20090,5,1,4,17,,y,,,7.28,
2,91,20091,5,1,4,27,,y,,,8.76,
2,64,20064,5,1,6,,l,,,,8.97,
2,65,20065,5,3,1,1,,,,,5.52,
2,66,20066,5,1,2,7,,,,,6.15,
2,67,20067,5,1,5,8,,,,,5.8,
2,113,20113,6,1,0,6,,,,,7.11,
2,114,20114,6,1,1,20,,,,,6.49,
2,115,20115,6,1,3,16,,,,,7.48,
2,116,20116,6,1,3,7,,,,,6.47,
2,117,20117,6,2,1,68,,,,,7.74,
2,118,20118,6,1,2,6,,,,,5.84,
2,119,20119,6,1,4,55,,,,,6.96,
2,120,20120,6,1,2,3,,,,,4.55,
2,121,20121,6,1,1,27,,,,,6.7,
2,122,20122,6,3,2,7,,,,,7.07,
2,123,20123,6,2,5,21,,y,,,6.28,
2,124,20124,6,1,5,68,,,,,7.64,
2,125,20125,6,1,3,4,,,,,5.6,
2,126,20126,6,1,4,44,,,,,7.15,
